,Lower_edge,Upper_edge,Centre
455,2.71267,2.71866,2.715665
456,2.71866,2.72464,2.72165
457,2.72464,2.73063,2.7276350000000003
458,2.73063,2.73661,2.73362
459,2.73661,2.7426,2.739605
460,2.7426,2.74859,2.745595
461,2.74859,2.75457,2.75158
462,2.75457,2.76056,2.757565
463,2.76056,2.76654,2.76355
464,2.76654,2.77253,2.7695350000000003
465,2.77253,2.77852,2.775525
466,2.77852,2.7845,2.78151
467,2.7845,2.79049,2.787495
468,2.79049,2.79648,2.793485
469,2.79648,2.80246,2.79947
470,2.80246,2.80845,2.8054550000000003
471,2.80845,2.81443,2.81144
472,2.81443,2.82042,2.817425
473,2.82042,2.82641,2.823415
474,2.82641,2.83239,2.8294
475,2.83239,2.83838,2.835385
476,2.83838,2.84436,2.84137
477,2.84436,2.85035,2.8473550000000003
478,2.85035,2.85634,2.853345
479,2.85634,2.86232,2.85933
480,2.86232,2.86831,2.865315
481,2.86831,2.87429,2.8712999999999997
482,2.87429,2.88028,2.8772849999999996
483,2.88028,2.88627,2.8832750000000003
484,2.88627,2.89225,2.88926
485,2.89225,2.89824,2.895245
486,2.89824,2.90422,2.90123
487,2.90422,2.91021,2.907215
488,2.91021,2.9162,2.913205
489,2.9162,2.92218,2.91919
490,2.92218,2.92817,2.9251750000000003
491,2.92817,2.93415,2.93116
492,2.93415,2.94014,2.937145
493,2.94014,2.94613,2.943135
494,2.94613,2.95211,2.9491199999999997
495,2.95211,2.9581,2.9551049999999996
496,2.9581,2.96408,2.96109
497,2.96408,2.97007,2.9670750000000004
498,2.97007,2.97606,2.973065
499,2.97606,2.98204,2.97905
500,2.98204,2.98803,2.985035
501,2.98803,2.99401,2.99102
502,2.99401,3.0,2.9970049999999997
